34	Fahrenheit 451	Ray Bradbury	https://www.fsusd.org/cms/lib03/CA01001943/Centricity/Domain/2034/Fahrenheit%20451.pdf http://67-231-249-98.static.as40244.net:8090/get/PDF/Ray%20Bradbury-Fahrenheit%20451_4753.pdf https://www.dvrhs.org/cms/lib2/NJ01001243/Centricity/Domain/67/F451%20PART%201%20HAS%20full%20text.pdf
35	The Giver, The Giver	Lois Lowry	https://sawyerela.weebly.com/uploads/5/8/8/1/5881058/the_giver__giver_quartet_book_-_lois_lowry.pdf https://www.scholastic.com/content/dam/teachers/activities/migrated-files-in-body/the-giver-bookfile.pdf https://www.mooreschools.com/cms/lib/OK01000367/Centricity/Domain/1344/Example%20Literary%20Essay_The%20Giver.pdf
36	One Flew Over the Cuckoo's Nest	Ken Kesey	https://www.hoddereducation.co.uk/media/Documents/magazine-extras/English%20Review/EngRev%2030_2/EnglishReview30_2_poster.pdf?ext=.pdf
37	Thirteen Reasons Why	Jay Asher	http://kieferorigins.weebly.com/uploads/1/3/7/6/13762989/asher_-_thirteen_reasons_why.pdf https://www.grpl.org/uploads/book-club/Thirteen%20Reasons%20Why.pdf https://www.penguin.com/static/pages/youngreaders/pdf/13rw_communityread/13rw_communityread_stageplay.pdf
38	The Mortal Instruments, City of Ashes	Cassandra Clare	https://getfreestorybooks.weebly.com/uploads/1/0/7/7/107718885/2_-_city_of_ashes.pdf http://testsrs.ucsf.edu/city.of.ashes.the.mortal.instruments.2.cassandra.clare.pdf http://ads.baa.uk.com/ads_1406307637_the_mortal_instruments_2_city_of_ashes.pdf
39	The Mortal Instruments, City of Glass	Cassandra Clare	http://ftp.ngcareers.com/city_of_glass_the_mortal_instruments.pdf http://readster.weebly.com/uploads/9/7/9/4/97949932/city_of_fallen_angels.pdf http://www1.fidroit.fr/b003z0bwt0-the-mortal-instruments-3-city-of-glass-english-edition.pdf
40	Gone with the Wind	Margaret Mitchell	http://ads.baa.uk.com/ads_1447264533_gone_with_the_wind.pdf https://pdfs.semanticscholar.org/9889/3559b277e3c90b177e0ee3704ba77eaf9156.pdf http://joell.in/wp-content/uploads/2020/03/62-68-MARGARET-MITCHELL%E2%80%99S-GONE-WITH-THE-WIND-1.pdf
41	Hush, Hush, Hush, Hush	Becca Fitzpatrick	http://www.ftik.usm.ac.id/A699092/amz-B00E60BFUO-hush-hush-saga-hush-hush-1.pdf http://www.ftik.usm.ac.id/A699092/amz-2702434541-hush-hush.pdf http://testsrs.ucsf.edu/hush.hush.becca.fitzpatrick.read.online.pdf
42	The Wolves of Mercy Falls, Shiver	Maggie Stiefvater	http://www.ftik.usm.ac.id/A699092/amz-1407131478-shiver-linger-forever-wolves-of-mercy-falls.pdf http://ftp.ngcareers.com/shiver_trilogy_boxset_the_wolves_of_mercy_falls_1_3_maggie_stiefvater.pdf http://ads.baa.uk.com/shiver_wolves_of_mercy_falls_series.pdf
43	A Clockwork Orange	Anthony Burgess	https://link.springer.com/content/pdf/10.5210/bsi.v1i2.169.pdf https://www.secret-satire-society.org/wp-content/uploads/2014/01/Anthony-Burgess-A-Clockwork-Orange.pdf http://www.sjsu.edu/faculty/harris/BritLitSurvey_F10/A%20CLOCKWORK%20ORANGE.pdf
44	American Psycho	Bret Easton Ellis	http://ads.baa.uk.com/ads_1447277708_american_psycho_3_picador_classic.pdf https://www.diva-portal.org/smash/get/diva2:781673/FULLTEXT01.pdf http://www.ftik.usm.ac.id/C3BC63C/amz-226403937X-american-psycho.pdf
